league,season,team,player,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
ENG-Premier League,2023-24,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6.0,5,0,0,1,0,3.7,0.26,-1.3,-0.22,19,69,27.5,169,30,34.9,33.3,19,52.6,41.4,46,8,17.4,9,1.5,14.6
ENG-Premier League,2023-24,Arsenal,David Raya,ESP,GK,27,1995,32.0,24,2,1,5,1,20.4,0.26,-2.6,-0.08,138,372,37.1,969,159,32.2,30.7,96,62.5,47.5,329,40,12.2,50,1.56,17.9
ENG-Premier League,2023-24,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,33.5,48,1,0,10,4,50.6,0.37,6.6,0.2,121,332,36.4,1270,157,21.0,27.7,159,40.9,36.1,373,45,12.1,69,2.06,17.5
ENG-Premier League,2023-24,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,13,0,1,0,0,11.1,0.3,-1.9,-0.43,15,48,31.3,176,19,20.5,27.1,27,44.4,35.9,46,6,13.0,1,0.22,8.4
ENG-Premier League,2023-24,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2.0,7,0,0,3,0,2.9,0.27,-4.1,-2.04,5,15,33.3,57,10,19.3,26.9,11,36.4,29.2,19,2,10.5,0,0.0,9.6
ENG-Premier League,2023-24,Bournemouth,Mark Travers,IRL,GK,24,1999,4.0,5,1,0,0,0,5.0,0.23,0.0,0.01,22,72,30.6,92,13,55.4,41.7,26,80.8,55.6,60,3,5.0,3,0.75,14.8
ENG-Premier League,2023-24,Bournemouth,Neto,BRA,GK,34,1989,32.0,55,5,1,3,1,55.2,0.31,1.2,0.04,172,494,34.8,833,154,44.1,36.9,223,57.0,44.2,413,26,6.3,34,1.06,13.7
ENG-Premier League,2023-24,Brentford,Mark Flekken,NED,GK,30,1993,36.5,63,2,0,6,0,55.4,0.31,-7.6,-0.21,242,647,37.4,1288,131,36.6,34.5,289,60.9,46.7,568,44,7.7,37,1.01,12.6
ENG-Premier League,2023-24,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,2,0,0,0,0,1.5,0.2,-0.5,-0.3,12,30,40.0,56,5,41.1,35.8,15,46.7,39.9,37,2,5.4,1,0.67,10.0
ENG-Premier League,2023-24,Brighton,Bart Verbruggen,NED,GK,20,2002,21.0,28,3,0,3,0,25.4,0.25,-2.6,-0.12,55,142,38.7,789,117,17.1,24.4,72,9.7,15.7,232,17,7.3,31,1.48,15.8
ENG-Premier League,2023-24,Brighton,Jason Steele,ENG,GK,32,1990,17.0,34,3,1,5,2,25.7,0.32,-6.3,-0.37,47,132,35.6,617,69,20.1,26.6,54,14.8,18.8,173,7,4.0,41,2.41,20.6
ENG-Premier League,2023-24,Burnley,Arijanet Muric,KVX,GK,24,1998,10.0,16,1,0,1,1,21.7,0.26,6.7,0.67,77,219,35.2,547,54,36.4,34.3,33,60.6,45.1,143,20,14.0,31,3.1,17.2
ENG-Premier League,2023-24,Burnley,James Trafford,ENG,GK,20,2002,28.0,62,5,0,10,2,54.1,0.3,-5.9,-0.21,138,606,22.8,1332,162,33.9,31.3,198,78.3,54.2,419,30,7.2,43,1.54,15.0
ENG-Premier League,2023-24,Chelsea,Robert Sánchez,ESP,GK,25,1997,15.9,25,2,0,3,0,24.2,0.28,-0.8,-0.05,61,147,41.5,516,87,21.3,28.1,91,40.7,33.7,202,19,9.4,27,1.7,15.8
ENG-Premier League,2023-24,Chelsea,Đorđe Petrović,SRB,GK,23,1999,22.1,38,1,0,5,3,28.3,0.26,-6.7,-0.3,67,214,31.3,655,97,22.1,27.8,149,46.3,37.8,312,20,6.4,20,0.91,12.7
ENG-Premier League,2023-24,Crystal Palace,Dean Henderson,ENG,GK,26,1997,18.0,30,1,0,3,1,27.4,0.31,-1.6,-0.09,59,245,24.1,377,52,46.7,38.6,105,65.7,47.0,246,5,2.0,17,0.94,13.8
ENG-Premier League,2023-24,Crystal Palace,Remi Matthews,ENG,GK,29,1994,0.0,1,0,0,0,0,0.1,0.15,-0.9,-19.2,0,5,0.0,4,0,100.0,53.8,1,100.0,63.0,1,1,100.0,0,0.0,3.5
ENG-Premier League,2023-24,Crystal Palace,Sam Johnstone,ENG,GK,30,1993,20.0,27,2,0,4,1,20.0,0.27,-6.0,-0.3,117,355,33.0,453,63,55.0,41.2,141,75.2,52.8,339,24,7.1,12,0.6,11.2
ENG-Premier League,2023-24,Everton,Jordan Pickford,ENG,GK,29,1994,38.0,51,8,0,9,3,52.4,0.28,4.4,0.12,360,901,40.0,1297,141,56.7,41.6,273,60.8,48.3,570,30,5.3,54,1.42,15.9
ENG-Premier League,2023-24,Fulham,Bernd Leno,GER,GK,31,1992,38.0,61,8,2,3,4,55.7,0.26,-1.3,-0.03,144,439,32.8,1372,167,23.7,28.5,201,56.7,44.7,472,19,4.0,40,1.05,14.2
ENG-Premier League,2023-24,Liverpool,Alisson,BRA,GK,30,1992,28.0,30,1,0,4,1,28.7,0.26,-0.3,-0.01,60,183,32.8,1021,140,14.1,24.7,116,33.6,33.3,299,13,4.3,33,1.18,17.7
ENG-Premier League,2023-24,Liverpool,Caoimhín Kelleher,IRL,GK,24,1998,10.0,11,0,0,3,1,11.3,0.3,1.3,0.13,32,102,31.4,411,52,22.4,27.3,28,35.7,34.9,77,5,6.5,13,1.3,17.0
ENG-Premier League,2023-24,Luton Town,James Shea,ENG,GK,32,1991,0.2,0,0,0,0,0,0.1,0.06,0.1,0.75,3,6,50.0,6,1,83.3,50.8,3,33.3,37.3,3,0,0.0,1,6.0,19.0
ENG-Premier League,2023-24,Luton Town,Thomas Kaminski,BEL,GK,30,1992,37.8,85,4,0,13,4,77.6,0.34,-3.4,-0.09,271,808,33.5,1121,150,52.0,39.5,341,66.0,47.5,558,16,2.9,76,2.01,20.5
ENG-Premier League,2023-24,Manchester City,Ederson,BRA,GK,29,1993,30.9,27,3,0,2,1,27.2,0.3,1.2,0.04,114,246,46.3,1120,137,18.3,27.2,114,36.0,36.3,247,25,10.1,50,1.62,17.3
ENG-Premier League,2023-24,Manchester City,Stefan Ortega,GER,GK,30,1992,7.1,7,0,0,1,0,9.0,0.33,2.0,0.28,28,68,41.2,247,24,24.7,27.9,19,36.8,34.4,65,6,9.2,13,1.84,16.8
ENG-Premier League,2023-24,Manchester Utd,André Onana,CMR,GK,27,1996,38.0,58,7,1,11,1,59.7,0.27,2.7,0.07,149,513,29.0,1351,140,31.0,31.2,162,58.0,44.6,601,42,7.0,37,0.97,12.9
ENG-Premier League,2023-24,Newcastle Utd,Loris Karius,GER,GK,30,1993,1.0,4,0,0,1,1,2.0,0.29,-1.0,-0.99,3,18,16.7,27,5,48.1,36.3,9,55.6,41.8,10,1,10.0,3,3.0,19.5
ENG-Premier League,2023-24,Newcastle Utd,Martin Dúbravka,SVK,GK,34,1989,22.1,42,4,0,5,0,42.2,0.29,0.2,0.01,56,165,33.9,480,143,15.6,25.4,169,53.3,39.1,296,20,6.8,22,1.0,12.9
ENG-Premier League,2023-24,Newcastle Utd,Nick Pope,ENG,GK,31,1992,14.9,16,0,1,2,0,16.8,0.3,0.8,0.06,41,118,34.7,304,88,21.1,28.6,95,56.8,43.8,143,9,6.3,28,1.87,19.0
ENG-Premier League,2023-24,Nott'ham Forest,Matt Turner,USA,GK,29,1994,17.0,28,2,1,4,0,22.1,0.26,-5.9,-0.35,126,280,45.0,436,99,42.7,35.7,136,69.1,47.0,296,30,10.1,18,1.06,13.3
ENG-Premier League,2023-24,Nott'ham Forest,Matz Sels,BEL,GK,31,1992,16.0,27,1,0,9,2,17.1,0.27,-7.9,-0.5,75,179,41.9,283,51,45.9,36.6,93,52.7,41.4,222,11,5.0,4,0.25,9.4
ENG-Premier League,2023-24,Nott'ham Forest,Odysseas Vlachodimos,GRE,GK,29,1994,5.0,12,1,0,2,0,7.9,0.31,-4.1,-0.83,28,60,46.7,130,21,25.4,29.6,44,61.4,44.3,92,3,3.3,2,0.4,10.3
ENG-Premier League,2023-24,Sheffield Utd,Ivo Grbić,CRO,GK,27,1996,8.6,25,0,0,4,2,14.7,0.25,-8.3,-0.97,65,199,32.7,207,25,57.5,41.2,89,89.9,59.4,193,11,5.7,14,1.63,14.4
ENG-Premier League,2023-24,Sheffield Utd,Wes Foderingham,ENG,GK,32,1991,29.4,79,5,0,8,5,70.4,0.33,-3.6,-0.12,205,618,33.2,783,101,54.5,40.2,262,72.9,52.1,468,28,6.0,42,1.43,14.7
ENG-Premier League,2023-24,Tottenham,Guglielmo Vicario,ITA,GK,26,1996,38.0,61,7,1,8,3,60.0,0.32,2.0,0.05,53,225,23.6,1363,193,14.3,24.0,201,14.9,22.2,511,33,6.5,81,2.13,17.1
ENG-Premier League,2023-24,West Ham,Alphonse Areola,FRA,GK,30,1993,30.0,53,5,0,3,3,52.1,0.24,2.1,0.07,160,430,37.2,643,144,43.9,36.8,219,67.6,47.3,468,27,5.8,7,0.23,8.9
ENG-Premier League,2023-24,West Ham,Łukasz Fabiański,POL,GK,38,1985,8.0,21,3,0,3,1,19.8,0.33,-0.2,-0.02,50,123,40.7,182,44,50.0,39.0,56,57.1,45.1,114,8,7.0,1,0.12,7.6
ENG-Premier League,2023-24,Wolves,Daniel Bentley,ENG,GK,30,1993,4.3,7,0,0,0,0,5.8,0.39,-1.2,-0.28,13,56,23.2,111,9,36.0,33.8,33,48.5,36.9,50,0,0.0,3,0.7,13.3
ENG-Premier League,2023-24,Wolves,José Sá,POR,GK,30,1993,33.7,58,8,1,7,1,65.9,0.31,8.9,0.26,87,424,20.5,841,190,33.3,33.0,253,56.9,42.6,522,45,8.6,28,0.83,12.6
ESP-La Liga,2023-24,Alavés,Antonio Sivera,ESP,GK,26,1996,34.0,38,8,0,3,2,38.4,0.25,2.4,0.07,279,701,39.8,807,116,62.3,44.6,295,67.1,47.8,501,25,5.0,29,0.85,13.1
ESP-La Liga,2023-24,Alavés,Jesús Owono,EQG,GK,22,2001,4.0,8,0,0,1,0,6.4,0.27,-1.6,-0.4,36,77,46.8,88,9,54.5,41.7,31,93.5,66.8,29,4,13.8,8,2.0,15.2
ESP-La Liga,2023-24,Almería,Diego Mariño,ESP,GK,33,1990,1.0,2,2,0,0,0,2.1,0.02,0.1,0.05,1,5,20.0,25,6,20.0,24.1,2,0.0,16.5,6,0,0.0,2,2.0,22.7
ESP-La Liga,2023-24,Almería,Fernando,ESP,GK,33,1990,4.0,10,0,0,1,0,8.5,0.37,-1.5,-0.36,22,67,32.8,133,28,39.8,35.6,26,53.8,44.0,72,4,5.6,7,1.75,14.5
ESP-La Liga,2023-24,Almería,Luís Maximiano,POR,GK,24,1999,33.0,63,4,0,7,0,59.7,0.32,-3.3,-0.1,158,543,29.1,995,146,38.4,35.5,264,61.0,46.3,551,25,4.5,38,1.15,14.5
ESP-La Liga,2023-24,Athletic Club,Julen Agirrezabala,ESP,GK,22,2000,2.6,4,0,0,0,0,2.4,0.2,-1.6,-0.61,18,49,36.7,78,20,35.9,32.4,22,95.5,64.5,41,2,4.9,3,1.13,15.3
ESP-La Liga,2023-24,Athletic Club,Unai Simón,ESP,GK,26,1997,35.4,33,1,0,2,4,38.0,0.28,9.0,0.26,220,679,32.4,982,144,48.5,38.7,240,84.6,60.9,450,31,6.9,46,1.3,16.3
ESP-La Liga,2023-24,Atlético Madrid,Jan Oblak,SVN,GK,30,1993,38.0,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,740,180,27.6,31.5,283,46.6,38.7,579,36,6.2,22,0.58,11.8
ESP-La Liga,2023-24,Barcelona,Iñaki Peña,ESP,GK,24,1999,10.0,17,0,0,0,0,13.9,0.36,-3.1,-0.31,21,49,42.9,249,46,13.3,23.7,48,33.3,35.5,116,2,1.7,5,0.5,10.6
ESP-La Liga,2023-24,Barcelona,Marc-André ter Stegen,GER,GK,31,1992,28.0,27,2,0,1,0,27.7,0.25,0.7,0.03,92,167,55.1,871,115,14.4,26.3,163,25.8,30.9,334,13,3.9,31,1.11,15.6
ESP-La Liga,2023-24,Betis,Claudio Bravo,CHI,GK,40,1983,7.0,5,0,0,0,1,5.5,0.27,1.5,0.21,38,80,47.5,169,30,30.2,30.6,60,48.3,40.1,101,4,4.0,6,0.86,12.6
ESP-La Liga,2023-24,Betis,Fran Vieites,ESP,GK,24,1999,3.5,4,0,1,0,0,4.5,0.25,0.5,0.15,13,50,26.0,82,18,37.8,36.5,35,54.3,46.4,65,3,4.6,2,0.57,10.5
ESP-La Liga,2023-24,Betis,Rui Silva,POR,GK,29,1994,27.5,36,7,2,3,2,37.5,0.26,3.5,0.13,129,380,33.9,772,119,36.0,33.5,183,55.7,43.0,375,31,8.3,34,1.24,14.9
ESP-La Liga,2023-24,Celta Vigo,Iván Villar,ESP,GK,26,1997,11.3,18,2,0,2,1,16.3,0.31,-0.7,-0.07,39,138,28.3,223,48,35.4,34.4,98,60.2,45.7,136,5,3.7,9,0.8,13.2
ESP-La Liga,2023-24,Celta Vigo,Vicente Guaita,ESP,GK,36,1987,26.7,39,4,0,5,2,39.7,0.31,2.7,0.1,137,356,38.5,589,134,39.4,35.5,213,58.2,45.3,420,23,5.5,27,1.01,13.3
ESP-La Liga,2023-24,Cádiz,David Gil,ESP,GK,29,1994,4.1,8,0,0,0,1,5.3,0.26,-1.7,-0.4,51,125,40.8,104,8,76.9,49.3,48,93.8,63.5,91,7,7.7,0,0.0,7.0
ESP-La Liga,2023-24,Cádiz,Jeremías Ledesma,ARG,GK,30,1993,33.9,47,2,0,6,0,46.4,0.3,-0.6,-0.02,313,785,39.9,897,115,60.4,44.0,284,85.6,62.1,526,53,10.1,45,1.33,12.9
ESP-La Liga,2023-24,Getafe,Daniel Fuzato,BRA,GK,26,1997,0.1,2,0,0,1,0,1.3,0.63,-0.7,-9.63,2,7,28.6,6,1,50.0,39.2,4,100.0,71.8,5,1,20.0,0,0.0,10.7
ESP-La Liga,2023-24,Getafe,David Soria,ESP,GK,30,1993,37.9,52,5,0,6,0,53.9,0.29,1.9,0.05,339,908,37.3,979,123,66.2,45.8,310,83.9,57.3,458,17,3.7,62,1.63,17.3
ESP-La Liga,2023-24,Girona,Paulo Gazzaniga,ARG,GK,31,1992,38.0,46,5,0,8,0,51.0,0.28,5.0,0.13,155,420,36.9,1140,178,25.6,30.0,246,52.0,44.8,534,41,7.7,33,0.87,13.2
ESP-La Liga,2023-24,Granada,André Ferreira,POR,GK,27,1996,14.9,29,3,0,2,1,27.8,0.33,-0.2,-0.01,73,186,39.2,388,88,31.4,32.2,110,58.2,44.3,195,6,3.1,13,0.87,12.6
ESP-La Liga,2023-24,Granada,Augusto Batalla,ARG,GK,27,1996,17.0,28,0,0,6,0,22.6,0.27,-5.4,-0.32,127,354,35.9,566,78,45.8,39.4,122,77.9,55.9,275,23,8.4,18,1.06,14.2
ESP-La Liga,2023-24,Granada,Marc Martínez,ESP,GK,33,1990,3.0,11,2,0,3,0,12.1,0.46,1.1,0.37,17,39,43.6,74,9,33.8,33.3,24,58.3,46.3,30,0,0.0,10,3.33,23.0
ESP-La Liga,2023-24,Granada,Raúl Fernández,ESP,GK,35,1988,3.1,11,0,0,1,1,7.8,0.46,-2.2,-0.71,14,47,29.8,88,10,37.5,35.7,17,82.4,62.1,36,4,11.1,11,3.54,17.3
ESP-La Liga,2023-24,Las Palmas,Aarón Escandell,ESP,GK,27,1995,1.7,3,0,0,0,0,2.5,0.62,-0.5,-0.3,9,26,34.6,73,10,27.4,30.4,12,50.0,41.3,24,1,4.2,4,2.35,18.0
ESP-La Liga,2023-24,Las Palmas,Álvaro Vallés,ESP,GK,26,1997,36.3,44,5,0,5,3,48.7,0.28,7.7,0.21,137,447,30.6,1762,194,21.7,27.3,151,42.4,39.1,521,29,5.6,96,2.65,17.8
ESP-La Liga,2023-24,Mallorca,Dominik Greif,SVK,GK,26,1997,1.0,0,0,0,0,0,0.7,0.16,0.7,0.66,10,18,55.6,23,3,52.2,42.0,9,66.7,54.2,12,0,0.0,1,1.0,23.0
ESP-La Liga,2023-24,Mallorca,Iván Cuéllar,ESP,GK,39,1984,1.0,1,0,0,0,0,1.2,0.19,0.2,0.17,1,11,9.1,32,8,31.3,33.0,3,33.3,35.7,6,1,16.7,0,0.0,7.0
ESP-La Liga,2023-24,Mallorca,Predrag Rajković,SRB,GK,27,1995,36.0,43,4,1,4,1,41.8,0.27,-0.2,-0.01,322,795,40.5,946,117,60.9,44.7,300,73.0,54.3,502,33,6.6,28,0.78,13.7
ESP-La Liga,2023-24,Osasuna,Aitor Fernández,ESP,GK,32,1991,6.1,9,1,0,2,0,6.1,0.26,-2.9,-0.47,47,113,41.6,174,19,56.3,42.5,22,68.2,49.7,69,1,1.4,15,2.45,24.8
ESP-La Liga,2023-24,Osasuna,Sergio Herrera,ESP,GK,30,1993,31.9,47,0,0,6,0,45.6,0.34,-1.4,-0.04,282,658,42.9,961,100,52.0,40.4,222,71.2,51.2,468,29,6.2,43,1.35,16.4
ESP-La Liga,2023-24,Rayo Vallecano,Dani Cárdenas,ESP,GK,26,1997,1.0,1,0,0,0,0,0.9,0.93,-0.1,-0.07,2,15,13.3,36,5,36.1,36.3,4,50.0,53.5,5,0,0.0,2,2.0,17.0
ESP-La Liga,2023-24,Rayo Vallecano,Stole Dimitrievski,MKD,GK,29,1993,37.0,47,1,1,5,2,46.9,0.31,1.9,0.05,168,598,28.1,928,171,47.1,39.4,267,60.3,48.4,529,23,4.3,38,1.03,14.6
ESP-La Liga,2023-24,Real Madrid,Andriy Lunin,UKR,GK,24,1999,21.0,17,1,0,2,0,21.2,0.31,4.2,0.2,35,99,35.4,548,95,13.7,25.2,116,20.7,28.7,283,27,9.5,23,1.1,12.2
ESP-La Liga,2023-24,Real Madrid,Kepa Arrizabalaga,ESP,GK,28,1994,13.3,9,0,0,0,1,10.0,0.28,2.0,0.15,34,92,37.0,386,57,19.2,27.0,70,25.7,30.6,157,6,3.8,10,0.75,14.7
ESP-La Liga,2023-24,Real Madrid,Thibaut Courtois,BEL,GK,31,1992,3.7,0,0,0,0,0,3.1,0.22,3.1,0.85,10,19,52.6,105,25,16.2,26.7,18,11.1,27.8,47,2,4.3,5,1.36,15.3
ESP-La Liga,2023-24,Real Sociedad,Unai Marrero,ESP,GK,21,2001,1.6,3,1,0,0,0,2.9,0.37,-0.1,-0.09,10,25,40.0,37,5,45.9,37.0,8,100.0,63.4,27,1,3.7,4,2.54,20.1
ESP-La Liga,2023-24,Real Sociedad,Álex Remiro,ESP,GK,28,1995,36.4,36,5,0,5,1,37.9,0.26,2.9,0.08,182,440,41.4,1090,111,30.6,32.0,163,65.6,50.9,383,18,4.7,54,1.48,16.9
ESP-La Liga,2023-24,Sevilla,Marko Dmitrović,SRB,GK,31,1992,13.0,25,2,0,3,1,22.4,0.3,-1.6,-0.12,52,148,35.1,314,70,32.5,32.7,79,58.2,45.9,152,11,7.2,15,1.15,15.4
ESP-La Liga,2023-24,Sevilla,Yassine Bounou,MAR,GK,32,1991,1.0,2,0,0,0,0,1.1,0.37,-0.9,-0.88,6,16,37.5,24,4,41.7,36.1,7,85.7,57.4,9,0,0.0,0,0.0,
ESP-La Liga,2023-24,Sevilla,Ørjan Nyland,NOR,GK,32,1990,24.0,27,3,1,1,1,29.8,0.26,3.8,0.16,166,449,37.0,583,108,49.9,39.4,201,78.6,56.4,359,20,5.6,17,0.71,13.5
ESP-La Liga,2023-24,Valencia,Cristian,ESP,GK,25,1998,0.6,1,0,0,1,0,0.5,0.17,-0.5,-0.75,2,5,40.0,15,4,26.7,29.1,3,33.3,32.7,12,0,0.0,0,0.0,8.3
ESP-La Liga,2023-24,Valencia,Giorgi Mamardashvili,GEO,GK,22,2000,36.5,41,3,0,4,2,49.2,0.31,10.2,0.28,185,671,27.6,864,142,57.3,41.4,245,71.8,53.4,530,45,8.5,31,0.85,12.3
ESP-La Liga,2023-24,Valencia,Jaume Doménech,ESP,GK,32,1990,0.9,3,0,1,2,0,1.7,0.14,-1.3,-1.52,4,20,20.0,24,2,62.5,40.5,7,71.4,51.4,19,1,5.3,1,1.14,11.4
ESP-La Liga,2023-24,Villarreal,Filip Jørgensen,DEN,GK,21,2002,36.0,63,6,1,9,1,59.8,0.27,-2.2,-0.06,144,360,40.0,1055,178,24.5,29.7,245,41.6,37.8,650,34,5.2,36,1.0,13.4
ESP-La Liga,2023-24,Villarreal,Pepe Reina,ESP,GK,40,1982,2.0,2,0,0,0,0,1.9,0.21,-0.1,-0.05,6,18,33.3,58,12,24.1,30.2,11,36.4,38.8,38,1,2.6,0,0.0,5.3
FRA-Ligue 1,2023-24,Brest,Grégoire Coudert,FRA,GK,24,1999,2.0,0,0,0,0,0,0.3,0.07,0.3,0.13,12,36,33.3,70,10,41.4,37.2,10,70.0,55.4,24,0,0.0,2,0.99,23.0
FRA-Ligue 1,2023-24,Brest,Marco Bizot,NED,GK,32,1991,32.0,34,2,0,4,0,36.2,0.27,2.2,0.07,232,482,48.1,908,134,39.3,35.1,188,66.5,47.3,382,18,4.7,41,1.28,15.7
FRA-Ligue 1,2023-24,Clermont Foot,Massamba Ndiaye,SEN,GK,21,2001,4.0,6,1,0,1,0,7.8,0.29,1.8,0.45,20,55,36.4,148,28,29.7,30.9,24,45.8,35.1,75,7,9.3,3,0.75,10.1
FRA-Ligue 1,2023-24,Clermont Foot,Mory Diaw,SEN,GK,30,1993,30.0,54,6,0,5,1,57.1,0.28,4.1,0.14,206,558,36.9,1065,129,42.8,36.7,176,58.0,44.5,439,39,8.9,46,1.53,14.4
FRA-Ligue 1,2023-24,Le Havre,Arthur Desmas,FRA,GK,29,1994,33.0,43,1,0,5,2,47.0,0.3,6.0,0.18,155,454,34.1,719,135,46.9,37.1,222,52.7,39.1,470,32,6.8,24,0.73,12.5
FRA-Ligue 1,2023-24,Le Havre,Mathieu Gorgelin,FRA,GK,32,1990,1.0,2,1,0,0,0,2.9,0.39,0.9,0.92,3,9,33.3,17,0,47.1,33.1,2,50.0,32.5,12,0,0.0,1,1.0,14.5
FRA-Ligue 1,2023-24,Lens,Brice Samba,FRA,GK,29,1994,33.0,35,6,0,6,1,42.3,0.27,8.3,0.25,163,369,44.2,948,143,31.8,31.5,170,40.0,33.5,388,32,8.2,39,1.18,14.8
FRA-Ligue 1,2023-24,Lens,Jean-Louis Leca,FRA,GK,37,1985,1.0,2,0,0,0,0,1.0,0.49,-1.0,-1.03,1,10,10.0,22,5,31.8,29.0,4,75.0,60.5,8,0,0.0,0,0.0,9.8
FRA-Ligue 1,2023-24,Lille,Lucas Chevalier,FRA,GK,21,2001,33.0,32,3,0,2,2,35.7,0.26,5.7,0.17,101,344,29.4,1059,121,26.5,29.6,123,51.2,44.5,388,25,6.4,28,0.85,12.7
FRA-Ligue 1,2023-24,Lille,Vito Mannone,ITA,GK,35,1988,1.0,2,0,0,0,0,1.7,0.35,-0.3,-0.26,5,16,31.3,37,1,40.5,35.9,1,100.0,61.0,11,2,18.2,4,3.96,15.0
FRA-Ligue 1,2023-24,Lorient,Yvon Mvogo,SUI,GK,29,1994,34.0,66,8,1,8,1,64.0,0.28,-1.0,-0.03,139,378,36.8,921,162,29.1,31.4,228,48.2,38.8,591,24,4.1,13,0.38,8.9
FRA-Ligue 1,2023-24,Lyon,Anthony Lopes,POR,GK,32,1990,31.0,49,4,1,7,1,43.5,0.25,-4.5,-0.15,132,362,36.5,839,156,34.1,32.4,196,38.8,34.1,438,36,8.2,28,0.9,12.4
FRA-Ligue 1,2023-24,Lyon,Rémy Riou,FRA,GK,35,1987,3.0,6,0,1,0,0,4.7,0.33,-1.3,-0.44,5,24,20.8,81,13,16.0,26.1,23,47.8,39.0,32,3,9.4,3,1.0,13.4
